Incident_ID,Source,Event,Location,Time,Severity,Source_Record_ID,Detail
AUD-001,Audio,Medical emergency,Michigan,Unknown,High,C001,My mom is. You're over now.
AUD-002,Audio,Homicide / death investigation,"Volusia County, Florida",Unknown,High,C002,"Hello, hello, is everything okay?"
AUD-003,Audio,Domestic disturbance,Texas,Unknown,Medium,C003,"Yes, I need a police officer over here at 7. What's going on?"
AUD-004,Audio,Traffic collision,"Omaha, Nebraska",Unknown,Medium,C004,"Man, my pickup was stolen. I had to go find it."
AUD-005,Audio,Non-emergency / misuse of 911,"Aloha, Oregon",Unknown,Low,C005,"I don't have an emergency too, can you self-it or just off my house just now?"
AUD-006,Audio,Homicide / death investigation,"Rowlett, Texas",Unknown,High,C006,I don't want to get back to sleep.
AUD-007,Audio,Homicide / death investigation,Colorado,Unknown,High,C007,"We can see we need a police at one of our parts of two streets. What's going on there, man? We were two."
AUD-008,Audio,Stabbing / assault,Washington,Unknown,High,C008,"I'm don't, Pearson, and that is killed two people."
AUD-009,Audio,Homicide / death investigation,South Carolina,Unknown,High,C009,"So I'm your ambulance, please officer. Okay, you need a police officer? Yeah."
AUD-010,Audio,Building fire,"Abingdon, Maryland",Unknown,High,C010,Here we've got a far down here at around 7. Right here to have it.
AUD-011,Audio,Medical emergency,Texas,Unknown,High,C011,"your heart is changing. I'm a little boy 7, I'm a little gay. I'm a little gay. I'm a still hangover."
AUD-012,Audio,Traffic collision,Colorado,Unknown,Medium,C012,I don't know but you're not far enough and disappointed you guys. Let me take the left at that light.
AUD-013,Audio,Building fire,"Kensington, Maryland",Unknown,High,C013,"Are you out of the house yet? No. Or I get out of the house. We can't, thank you."
AUD-014,Audio,Rescue / person trapped,"Port Huron, Michigan",Unknown,High,C014,"Yes, there's a police return. Yes, it is. They help you. Okay, I put this as ridiculous, but..."
AUD-015,Audio,Non-emergency / misuse of 911,Wisconsin,Unknown,Low,C015,"And 563, shall I hear a road?"
AUD-016,Audio,Domestic disturbance,Michigan,Unknown,Medium,C016,"Can you please send us to you? Uh, to... I think I'm heading..."
AUD-017,Audio,Water emergency / drowning,"Columbus, Ohio",Unknown,High,C017,"Okay, this is county it's a matter"
AUD-018,Audio,Shooting / gun violence,"Latah County, Idaho",Unknown,High,C018,"Oh my god, somebody's shooting at this sheriff's department. At the sheriff's department. Yes, somebody."
AUD-019,Audio,Medical emergency,California,Unknown,High,C019,"Okay, calm down a little bit, okay? What's he at?"
AUD-020,Audio,Traffic collision,"Paw Paw, Michigan",Unknown,Medium,C020,"Um, there was just a semi going, what is that? Red arrow going down."
AUD-021,Audio,Traffic collision,DC,Unknown,Medium,C021,"I'm a quality breakthrough, and I'm a"
AUD-022,Audio,Medical emergency,California,Unknown,High,C022,You can see the
AUD-023,Audio,Homicide / death investigation,"90301 South Texas Street, Wisconsin",Unknown,High,C023,"Yes, I live at 90301 South Texas Street. Mm-hmm. I've got a gentle..."
