Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
C001,My mom is. You're over now.,Medical emergency,Michigan,Concerned,0.53
C002,"Hello, hello, is everything okay?",Homicide / death investigation,"Volusia County, Florida",Distressed,0.66
C003,"Yes, I need a police officer over here at 7. What's going on?",Domestic disturbance,Texas,Concerned,0.42
C004,"Man, my pickup was stolen. I had to go find it.",Traffic collision,"Omaha, Nebraska",Concerned,0.49
C005,"I don't have an emergency too, can you self-it or just off my house just now?",Non-emergency / misuse of 911,"Aloha, Oregon",Concerned,0.19
C006,I don't want to get back to sleep.,Homicide / death investigation,"Rowlett, Texas",Distressed,0.66
C007,"We can see we need a police at one of our parts of two streets. What's going on there, man? We were two.",Homicide / death investigation,Colorado,Distressed,0.66
C008,"I'm don't, Pearson, and that is killed two people.",Stabbing / assault,Washington,Concerned,0.59
C009,"So I'm your ambulance, please officer. Okay, you need a police officer? Yeah.",Homicide / death investigation,South Carolina,Distressed,0.66
C010,Here we've got a far down here at around 7. Right here to have it.,Building fire,"Abingdon, Maryland",Concerned,0.59
C011,"your heart is changing. I'm a little boy 7, I'm a little gay. I'm a little gay. I'm a still hangover.",Medical emergency,Texas,Concerned,0.53
C012,I don't know but you're not far enough and disappointed you guys. Let me take the left at that light.,Traffic collision,Colorado,Concerned,0.49
C013,"Are you out of the house yet? No. Or I get out of the house. We can't, thank you.",Building fire,"Kensington, Maryland",Concerned,0.59
C014,"Yes, there's a police return. Yes, it is. They help you. Okay, I put this as ridiculous, but...",Rescue / person trapped,"Port Huron, Michigan",Concerned,0.55
C015,"And 563, shall I hear a road?",Non-emergency / misuse of 911,Wisconsin,Calm,0.06
C016,"Can you please send us to you? Uh, to... I think I'm heading...",Domestic disturbance,Michigan,Concerned,0.42
C017,"Okay, this is county it's a matter",Water emergency / drowning,"Columbus, Ohio",Concerned,0.59
C018,"Oh my god, somebody's shooting at this sheriff's department. At the sheriff's department. Yes, somebody.",Shooting / gun violence,"Latah County, Idaho",Concerned,0.63
C019,"Okay, calm down a little bit, okay? What's he at?",Medical emergency,California,Concerned,0.53
C020,"Um, there was just a semi going, what is that? Red arrow going down.",Traffic collision,"Paw Paw, Michigan",Concerned,0.49
C021,"I'm a quality breakthrough, and I'm a",Traffic collision,DC,Concerned,0.49
C022,You can see the,Medical emergency,California,Concerned,0.53
C023,"Yes, I live at 90301 South Texas Street. Mm-hmm. I've got a gentle...",Homicide / death investigation,"90301 South Texas Street, Wisconsin",Distressed,0.66
C024,"where's your emergency? Any ambulance to 101, colony. Okay, what's the reason to leave? What's going on? One thing.",Stabbing / assault,"Fairfield, Connecticut",Concerned,0.59
C025,"Hi, I'm speaking to my boyfriend as he was entering his home and I heard loud screaming and now be good",Shooting / gun violence,New Jersey,Concerned,0.63
C026,"Yeah, this is from, I had a little girl that fell on the ball and...",Water emergency / drowning,Colorado,Concerned,0.59
C027,"Yep. Hi, I'm trying to save up your family and I'm asking them all in those alternatives to my health.",Stabbing / assault,"Before Broward County, Florida",Concerned,0.59
C028,I'm out here right here and I lost my keys in my car. Is there any way that someone can imagine?,Non-emergency / misuse of 911,Location not provided in source data,Calm,0.06
C029,It's not an emergency. The only way I know how I get in touch with this woman is...,Non-emergency / misuse of 911,Location not provided in source data,Concerned,0.19
C030,What's going on there? Does he hide?,Non-emergency / misuse of 911,Location not provided in source data,Calm,0.06
C031,Now one one where is your emergency?,Non-emergency / misuse of 911,Location not provided in source data,Concerned,0.19
C032,I hear you.,Non-emergency / misuse of 911,Location not provided in source data,Calm,0.06
C033,I'm sorry but the farm works bill on. I'm sorry you cannot call 911 for that.,Non-emergency / misuse of 911,Location not provided in source data,Concerned,0.11
C034,"Please, thank you. Yes. No. I want to report a drug overdose. A drug overdose.",Stabbing / assault,Florida,Concerned,0.59
C035,"emergency. Uh, five. Zero zero one. Here's man. We'll be in gun. Five zero.",Shooting / gun violence,Wisconsin,Concerned,0.63
C036,I'm going to want somebody to just walk into our house while they're going to be focused. That's what I'm going to have now.,Burglary / robbery / intruder,Florida,Concerned,0.47
C037,floor. You're going to cover up. Sure be on the floor. Okay. I'm going to tell you how to help deliver the baby. Okay.,Medical emergency,Texas,Concerned,0.53
C038,It's already about going to a house. But I don't know.,Homicide / death investigation,"Rineyville, Kentucky",Distressed,0.66
