Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score,Extracted_Names,Urgency_Phrases,Audio_File,Event_Source,Event_Confidence,Location_Source,Location_Confidence,Sentiment_Urgency_Source,Metadata_Title,Metadata_Description
C001,My mom is. You're over now.,Medical emergency,Michigan,Concerned,0.53,Unknown,None detected,911_first6sec/call_2_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Detroit Child’s 911 Call – audio,"– In Feb. 2006 5 year-old Robert Turner called to say his mother was unconscious. However, dispatcher Sharon Nicols believed it was a prank call. Nicols and another dispatcher were later fired, and Nicols was charged with criminal neglect of duty. She was later convicted, but granted probation. Also isten to the second"
C002,"Hello, hello, is everything okay?",Homicide / death investigation,"Volusia County, Florida",Distressed,0.66,Unknown,None detected,911_first6sec/call_8_0.wav,Metadata,0.75,Metadata description,0.76,Transcript + incident context,Girl’s Murder 911 Call,"– the 911 call of a lifetime. Volusia County (Fla.) dispatcher Donna Choufani talks to 5 year-old Tia Hernlen, who calmly reports her two parents shot to death. Also check this"
C003,"Yes, I need a police officer over here at 7. What's going on?",Domestic disturbance,Texas,Concerned,0.42,Unknown,police,911_first6sec/call_9_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,‘Shoot Her?’ 911 call,"– caller reports her daughter is creating a disturbance at home, and the dispatcher makes an inappropriate comment"
C004,"Man, my pickup was stolen. I had to go find it.",Traffic collision,"Omaha, Nebraska",Concerned,0.49,Unknown,None detected,911_first6sec/call_10_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Snowstorm 911 Call,– a couple under the influence of drugs dialed 911 after their truck ran into a snowdrift outside Omaha (Neb.) in Jan. 2005. Janelle Hornickel and Michael Wamsley were disoriented and couldn’t give their location. Their bodies were found days later in the snow.
C005,"I don't have an emergency too, can you self-it or just off my house just now?",Non-emergency / misuse of 911,"Aloha, Oregon",Concerned,0.19,Unknown,emergency,911_first6sec/call_11_0.wav,Metadata,0.79,Metadata description,0.82,Transcript + incident context,911 Call for a Date,– Lorna Jeanne Dudash in Aloha (Ore.) dialed 911 to ask for the name of a “cute” Washington County sheriff’s deputy she had just encountered. The deputy returned to her house and arrested her.
C006,I don't want to get back to sleep.,Homicide / death investigation,"Rowlett, Texas",Distressed,0.66,Unknown,None detected,911_first6sec/call_12_0.wav,Metadata,0.79,Metadata description,0.82,Transcript + incident context,Murder 911 Call,"– In June 1996 two children were stabbed to death in their home in Rowlett (Tex.), and their mother Darlie Routier was later arrested for their murder. A jury later did not believe that an intruder killed the children and seriously injured Routier, and she was convicted. The case is now on appeal."
C007,"We can see we need a police at one of our parts of two streets. What's going on there, man? We were two.",Homicide / death investigation,Colorado,Distressed,0.66,Unknown,police,911_first6sec/call_13_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Jon Benet 911 Call,"JonBenét Patricia Ramsey (August 6, 1990 – December 25 or 26, 1996)[1] was an American child beauty queen who was killed at the age of six in her family's home in Boulder, Colorado."
C008,"I'm don't, Pearson, and that is killed two people.",Stabbing / assault,Washington,Concerned,0.59,don,None detected,911_first6sec/call_15_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Murder 911 call – Wash.,– In Jan. 2007 a Vancouver (Wash.) man called to confess killing two persons with a knife. Dylon R. Peterson was arrested by arriving police.
C009,"So I'm your ambulance, please officer. Okay, you need a police officer? Yeah.",Homicide / death investigation,South Carolina,Distressed,0.66,your ambulance,ambulance; police; please,911_first6sec/call_16_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Murder 911 Call – SC,"– In May, 2006 a Clemson college student was found strangeled to death in her apartment, and a student calls to report finding her body."
C010,Here we've got a far down here at around 7. Right here to have it.,Building fire,"Abingdon, Maryland",Concerned,0.59,Unknown,None detected,911_first6sec/call_17_0.wav,Metadata,0.82,Metadata description,0.82,Transcript + incident context,Maryland fire 911,"– In Jan. 2007 five residents in Abingdon (Md.) died in a house fire, reported by several 911 calls. There was some criticism that the Harford County comm center took several minutes to dispatch fire units, but officials said an uncertain address only delayed units by seconds."
