Text_ID,Source,Raw_Text,Sentiment,Entities,Topic
TXT_001,Twitter,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Police search in the area; traffic stopped",NEGATIVE,JeffTusc Co,Arrest / Investigation
TXT_002,Twitter,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacle Church. http://t.co/X67i7jajij,NEGATIVE,"Monday, Word Tabernacle Church",Arrest / Investigation
TXT_003,Twitter,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes,NEGATIVE,Chicago Police,Public Disturbance
TXT_004,Twitter,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96jCNY3wV #patriots #liberty,NEGATIVE,New NRA Advice,Arrest / Investigation
TXT_005,Twitter,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and murder http://t.co/SLuXLgbQbU",NEGATIVE,FGM,Public Disturbance
TXT_006,Twitter,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/w7ft9HW4Vx",NEGATIVE,None,Public Disturbance
TXT_007,Twitter,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl",NEGATIVE,Town of Tonawanda Police Search for Bank Robbery Suspect,Theft / Robbery
TXT_008,Twitter,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. http://t.co/6Ld0Zs9h29 ^ws",NEGATIVE,None,Public Disturbance
TXT_009,Twitter,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ75Did,NEGATIVE,None,Arrest / Investigation
TXT_010,Twitter,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimore. @baltimoresun http://t.co/A0TRUflAYl,POSITIVE,"Commish Batts, marijuana, Baltimore",Public Disturbance
TXT_011,Twitter,Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated raids in Redbridge http://t.co/ZWmE54jhBP,NEGATIVE,Redbridge,Arrest / Investigation
TXT_012,Twitter,#NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,NEGATIVE,None,Public Disturbance
TXT_013,Twitter,#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon Cornwall,POSITIVE,Devon Cornwall,Arrest / Investigation
TXT_014,Twitter,BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,NEGATIVE,Badger Guns,Arrest / Investigation
TXT_015,Twitter,Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ2Obw1k via @MailOnline Just #crime fighters? Nope!!!,NEGATIVE,None,Public Disturbance
